orig_pc,orig_pc_part,orig_instruction,is_conditional_branch,is_constant_jump,is_computed_jump,srcA,srcB,dst,is_memory_read,is_memory_write,mem_addr,branch_taken
4096,0,"auipc   t0, 0x0",N,N,N,,,5,N,N,0,N
4100,0,"addi    a1, t0, 32",N,N,N,5,,11,N,N,0,N
4104,0,"csrr    a0, mhartid",N,N,N,,,10,N,N,0,N
4108,0,"ld      t0, 24(t0)",N,N,N,5,,5,Y,N,0,N
4112,0,jr      t0,N,N,Y,5,,,N,N,0,Y
2147483648,0,j       pc + 0x1f8,N,Y,N,,,,N,N,0,Y
2147484152,0,"li      ra, 0",N,N,N,,,1,N,N,0,N
2147484156,0,"li      sp, 0",N,N,N,,,2,N,N,0,N
2147484160,0,"li      gp, 0",N,N,N,,,3,N,N,0,N
2147484164,0,"li      tp, 0",N,N,N,,,4,N,N,0,N
2147484168,0,"li      t0, 0",N,N,N,,,5,N,N,0,N
2147484172,0,"li      t1, 0",N,N,N,,,6,N,N,0,N
2147484176,0,"li      t2, 0",N,N,N,,,7,N,N,0,N
2147484180,0,"li      s0, 0",N,N,N,,,8,N,N,0,N
2147484184,0,"li      s1, 0",N,N,N,,,9,N,N,0,N
2147484188,0,"li      a2, 0",N,N,N,,,12,N,N,0,N
2147484192,0,"li      a3, 0",N,N,N,,,13,N,N,0,N
2147484196,0,"li      a4, 0",N,N,N,,,14,N,N,0,N
2147484200,0,"li      a5, 0",N,N,N,,,15,N,N,0,N
2147484204,0,"li      a6, 0",N,N,N,,,16,N,N,0,N
2147484208,0,"li      a7, 0",N,N,N,,,17,N,N,0,N
2147484212,0,"li      s2, 0",N,N,N,,,18,N,N,0,N
2147484216,0,"li      s3, 0",N,N,N,,,19,N,N,0,N
2147484220,0,"li      s4, 0",N,N,N,,,20,N,N,0,N
2147484224,0,"li      s5, 0",N,N,N,,,21,N,N,0,N
2147484228,0,"li      s6, 0",N,N,N,,,22,N,N,0,N
2147484232,0,"li      s7, 0",N,N,N,,,23,N,N,0,N
2147484236,0,"li      s8, 0",N,N,N,,,24,N,N,0,N
2147484240,0,"li      s9, 0",N,N,N,,,25,N,N,0,N
2147484244,0,"li      s10, 0",N,N,N,,,26,N,N,0,N
2147484248,0,"li      s11, 0",N,N,N,,,27,N,N,0,N
2147484252,0,"li      t3, 0",N,N,N,,,28,N,N,0,N
2147484256,0,"li      t4, 0",N,N,N,,,29,N,N,0,N
2147484260,0,"li      t5, 0",N,N,N,,,30,N,N,0,N
2147484264,0,"li      t6, 0",N,N,N,,,31,N,N,0,N
2147484268,0,"csrw    mscratch, zero",N,N,N,,,,N,N,0,N
2147484272,0,"auipc   t0, 0x0",N,N,N,,,5,N,N,0,N
2147484276,0,"addi    t0, t0, -620",N,N,N,5,,5,N,N,0,N
2147484280,0,"csrw    mtvec, t0",N,N,N,5,,,N,N,0,N
2147484284,0,"csrr    t1, mtvec",N,N,N,,,6,N,N,0,N
2147484288,0,"bne     t0, t1, pc + 0",Y,N,N,5,6,,N,N,0,N
2147484292,0,"auipc   sp, 0x10",N,N,N,,,2,N,N,0,N
2147484296,0,"addi    sp, sp, -964",N,N,N,2,,2,N,N,0,N
2147484300,0,"csrr    a3, mhartid",N,N,N,,,13,N,N,0,N
2147484304,0,"slli    a2, a3, 12",N,N,N,13,,12,N,N,0,N
2147484308,0,"add     sp, sp, a2",N,N,N,2,12,2,N,N,0,N
2147484312,0,"bnez    a3, pc + 8",Y,N,N,13,,,N,N,0,N
2147484316,0,j       pc + 0x317c,N,Y,N,,,,N,N,0,Y
2147496984,0,"c.addi  sp, -32",N,N,N,,,2,N,N,0,N
2147496986,0,"c.sdsp  ra, 24(sp)",N,N,N,1,2,,N,Y,2147548856,N
2147496988,0,"c.sdsp  s0, 16(sp)",N,N,N,8,2,,N,Y,2147548848,N
2147496990,0,"c.sdsp  s1, 8(sp)",N,N,N,9,2,,N,Y,2147548840,N
